IonicLiuid,SS-exp,T (K),P (kPa),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,Area (Å2),Mol-Wt (g/mol)
[AMIM][TF2N],1286.6,278.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1274.9,283.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1263.1,288.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1251.6,293.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1240.2,298.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1228.9,303.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1217.8,308.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1206.8,313.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1196,318.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1185.2,323.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1174.7,328.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1164.2,333.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
[AMIM][TF2N],1153.8,338.15,100,0.16,2.74,7.83,4.56,2.09,0.32,0.22,2.39,9.53,2.92,5.23,0.03,0,380.32,403.32
