IonicLiuid,ST-exp,T (K),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,Area (Å2),Mol-Wt (g/mol)
[MMIM][DCN],61.6,298.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,0,0.47225,2.61255,1.5596,2.9944,2.5444,0.0031,245.849,163.1806
[MMIM][Glu] glutamate,76.2,298.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,3.5405,2.91035,1.73775,1.0404,1.28945,4.3558,1.80415,310.7679,243.2608
[MMIM][MeSO4],60.9,288.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,0.9294,2.0002,0.9552,0.8705,4.05405,3.00005,0,262.0771,208.2367
[MMIM][MeSO4],59.8,298.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,0.9294,2.0002,0.9552,0.8705,4.05405,3.00005,0,262.0771,208.2367
[MMIM][MeSO4],59.1,308.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,0.9294,2.0002,0.9552,0.8705,4.05405,3.00005,0,262.0771,208.2367
[MMIM][MeSO4],58.9,313.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,0.9294,2.0002,0.9552,0.8705,4.05405,3.00005,0,262.0771,208.2367
[MMIM][DMP],47.42,293.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,1.11045,4.0732,1.94495,0.83575,1.22985,3.32805,1.53345,284.5421,222.1796
[MMIM][DMP],47.09,298.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,1.11045,4.0732,1.94495,0.83575,1.22985,3.32805,1.53345,284.5421,222.1796
[MMIM][DMP],46.28,308.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,1.11045,4.0732,1.94495,0.83575,1.22985,3.32805,1.53345,284.5421,222.1796
[MMIM][DMP],44.44,318.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,1.11045,4.0732,1.94495,0.83575,1.22985,3.32805,1.53345,284.5421,222.1796
[MMIM][DMP],42.58,328.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,1.11045,4.0732,1.94495,0.83575,1.22985,3.32805,1.53345,284.5421,222.1796
[MMIM][DMP],41.33,338.15,0.13555,2.7005,7.25125,3.73525,0.57615,0,1.11045,4.0732,1.94495,0.83575,1.22985,3.32805,1.53345,284.5421,222.1796
[Emim][BF4],52.05,298.15,0.1385,2.54575,7.2049,5.1969,1.12575,0,0,0,0.03085,1.77865,7.2472,0,0,252.6849,197.9708
[Emim][BF4],51.65,308.15,0.1385,2.54575,7.2049,5.1969,1.12575,0,0,0,0.03085,1.77865,7.2472,0,0,252.6849,197.9708
